pincode,district_lgd_code,lat,lng
604405,593,12.437000,79.516814
604406,593,12.387208,79.563583
604407,731,12.695613,79.526231
604408,593,12.471917,79.531206
604409,593,12.640171,79.465000
604410,593,12.761300,79.605114
604501,593,12.528817,79.502292
604502,593,12.457233,79.323483
604503,593,12.541425,79.455100
604504,593,12.614780,79.357440
604505,593,12.612671,79.418229
604601,593,12.225600,79.225588
605007,570,11.535000,79.450900
605014,596,11.973400,79.292100
605101,596,12.005500,79.808900
605102,596,11.916200,79.685300
605103,596,12.005925,79.475212
605105,596,11.754057,79.313671
605106,570,11.661520,79.537420
605107,596,11.953100,79.622400
605108,596,11.925788,79.578312
605109,596,12.048500,79.720500
605110,596,11.973400,79.292100
605111,596,12.007600,79.787800
605201,596,12.082289,79.354333
605202,596,12.078033,79.407317
605203,596,12.086113,79.465812
605301,596,11.932814,79.431614
605302,596,11.944200,79.387925
605401,596,11.854117,79.398517
605402,596,12.015578,79.423200
605501,596,12.201678,79.639333
605502,596,12.308100,79.705600
605601,596,11.984388,79.519588
605602,596,11.935900,79.515200
605651,596,12.139000,79.526988
605652,596,12.049492,79.563192
605701,596,11.945210,79.285320
605702,729,12.097944,78.994189
605751,729,11.897600,79.209686
605752,596,11.981775,79.217500
605754,729,12.014971,79.085686
605755,596,11.975300,79.313800
605756,729,11.825800,79.265900
605757,729,11.945700,79.219700
605758,596,12.045525,79.213925
605759,729,11.945700,79.219700
605766,729,12.027255,79.220682
605801,729,11.964057,79.120729
605802,729,12.056500,79.150717
605803,596,12.001000,79.132700
606001,570,11.521600,79.307100
606003,570,11.521600,79.307110
606102,729,11.777045,79.289282
606103,570,11.464688,79.443325
606104,570,11.666067,79.267667
606105,570,11.418100,79.266417
606106,570,11.422387,79.104325
606107,729,11.790208,79.326308
606108,570,11.509267,79.250183
606109,570,11.531300,78.997800
606110,570,11.464300,79.349000
606111,570,11.412389,79.189189
606115,729,11.741783,79.339300
606201,729,11.855443,79.143257
606202,729,11.690700,78.879100
606203,729,11.672389,79.059600
606204,729,11.646536,79.026809
606205,729,11.835600,79.089420
606206,729,11.906720,79.236307
606207,729,11.802185,78.840900
606208,729,11.834617,78.929517
606209,729,11.751969,78.655931
606213,729,11.746408,78.980092
606301,729,11.553889,78.876811
606302,570,11.530111,79.254467
606303,570,11.440889,78.979100
606304,570,11.593178,79.216156
606305,729,11.641262,79.179288
606401,729,11.820560,79.117487
606402,729,11.947900,79.106330
606601,593,12.260700,79.051500
606603,593,12.260700,79.051500
606604,593,12.260717,79.051500
606611,593,12.233117,79.117583
606701,593,12.308900,78.791400
606702,593,12.262900,78.921500
606703,593,12.244878,78.717089
606704,593,12.467200,79.206189
606705,593,12.431100,79.167700
606706,593,12.188900,78.860980
606707,593,12.174914,79.104900
